Phase,Date,PD Level EFD-0146,PD Level EFD-0116,Time Index EFD-0146,Time Index EFD-0116,Location(m) from EFD-0146,Nearest Pole Location,Pole LIS number,T2 EFD-0146,T2 EFD-0116,W2 EFD-0146,W2 EFD-0116,MaxCountSquared EFD-0146,MaxCountSquared EFD-0116,MaxVoltSquared EFD-0146,MaxVoltSquared EFD-0116,Day
Blue,10/05/2018 12:07:44 PM +10:00,0.002975464,0.004119873,0.124851324,0.124855752,1014.05693,897,5111290,4.89711E-14,5.61104E-14,4.33915E+15,2.52372E+15,1,1,8.85339E-06,1.69734E-05,10.50537
White,10/05/2018 12:56:26 PM +10:00,0.002365112,0.006561279,0.077978976,0.077975096,2262.930318,2445,5111862,3.25331E-14,2.28371E-14,6.06809E+15,1.05709E+15,1,3,-6.33881E-06,-5.59026E-05,10.53919
Blue,10/05/2018 12:57:22 PM +10:00,0.002975464,0.006561279,0.120329368,0.120324084,2471.319923,2445,5111862,2.71976E-14,2.83335E-14,3.21958E+15,1.17398E+15,2,1,8.85339E-06,-5.59026E-05,10.53984
Blue,10/05/2018 1:08:39 PM +10:00,0.003585815,0.005950928,0.108076956,0.108071608,2481.754075,2445,5111862,2.50675E-14,2.35063E-14,3.57865E+15,9.51889E+14,1,1,1.28581E-05,-4.71482E-05,10.54767
White,10/05/2018 1:29:21 PM +10:00,0.002975464,0.006561279,0.069908952,0.069903668,2473.57457,2445,5111862,3.14954E-14,2.72811E-14,3.14589E+15,1.15753E+15,1,12,8.85339E-06,-4.71482E-05,10.56205
Red,10/05/2018 1:52:59 PM +10:00,0.007858276,0.005950928,0.027596328,0.027591012,2479.735331,2445,5111862,1.34855E-14,2.36038E-14,4.33672E+15,1.03196E+15,52,5,-6.41739E-05,-4.71482E-05,10.57846
Red,10/05/2018 1:59:57 PM +10:00,0.002975464,0.004730225,0.017327724,0.017332496,967.7331698,897,5111290,3.60303E-14,4.575E-14,4.55859E+15,5.45639E+15,1,3,8.85339E-06,2.2375E-05,10.5833
Red,10/05/2018 2:15:09 PM +10:00,0.002975464,0.004119873,0.015534612,0.01552926,2486.598435,2445,5111862,3.89478E-14,5.00282E-14,4.22518E+15,2.62391E+15,1,1,8.85339E-06,1.69734E-05,10.59385
Red,10/05/2018 3:41:39 PM +10:00,0.002365112,0.004119873,0.011714656,0.011704976,3135.811514,3132,5111864,3.38293E-14,5.89822E-14,6.07266E+15,2.12175E+15,6,3,-6.33881E-06,1.69734E-05,10.65392
Red,11/05/2018 6:43:02 AM +10:00,0.002365112,0.004730225,0.008107248,0.008112888,837.5808545,897,5111290,2.73431E-14,4.52792E-14,6.78271E+15,5.01595E+15,40,7,-6.33881E-06,2.2375E-05,11.27988
White,11/05/2018 9:06:02 AM +10:00,0.003585815,0.005340576,0.075120376,0.075119568,1792.63315,1696,5111292,4.06722E-14,7.6426E-14,4.21161E+15,5.52503E+15,2,9,1.28581E-05,2.85218E-05,11.37919
Blue,11/05/2018 9:41:19 AM +10:00,0.006027222,0.005950928,0.123589764,0.123585212,2350.447339,2445,5111862,1.62752E-14,2.51918E-14,4.40415E+15,3.86051E+15,7,3,-3.819E-05,3.54135E-05,11.40369
White,11/05/2018 9:55:45 AM +10:00,0.003585815,0.005340576,0.065287408,0.065276964,3243.176655,3132,5111864,4.12059E-14,3.30562E-14,3.74201E+15,3.51845E+15,1,1,-1.39757E-05,2.85218E-05,11.41372
Red,11/05/2018 10:01:30 AM +10:00,0.004196167,0.004730225,0.008058108,0.00804836,3146.164224,3132,5111864,1.9574E-14,5.10134E-14,4.46785E+15,2.37802E+15,2,1,1.76078E-05,2.2375E-05,11.41771
Blue,11/05/2018 11:11:50 AM +10:00,0.009078979,0.004730225,0.123184072,0.123182992,1839.535029,1696,5111292,1.13294E-14,4.37898E-14,4.53969E+15,2.6295E+15,2,1,-8.52218E-05,2.2375E-05,11.46655
Blue,11/05/2018 11:12:55 AM +10:00,0.006637573,0.005340576,0.118645596,0.1186357,3162.209903,3132,5111864,1.35496E-14,5.11725E-14,4.31523E+15,2.56265E+15,39,3,-4.61063E-05,2.85218E-05,11.4673
Red,11/05/2018 11:31:22 AM +10:00,0.002975464,0.004119873,0.008404648,0.008402552,1998.905845,2007,5111293,3.8179E-14,5.42474E-14,4.93157E+15,3.8795E+15,1,5,8.85339E-06,1.69734E-05,11.48012
Blue,11/05/2018 11:47:34 AM +10:00,0.002975464,0.004119873,0.111894796,0.111899272,1007.826173,897,5111290,5.39535E-14,3.31239E-14,4.46638E+15,3.75488E+15,2,6,8.85339E-06,1.69734E-05,11.49137
White,11/05/2018 1:03:08 PM +10:00,0.002975464,0.004730225,0.078181104,0.07817636,2391.627617,2445,5111862,3.979E-14,4.6046E-14,4.11374E+15,5.29431E+15,1,2,8.85339E-06,2.2375E-05,11.54384
White,11/05/2018 1:42:54 PM +10:00,0.002975464,0.004730225,0.066659704,0.06665154,2903.680496,2793,5111863,2.86789E-14,4.34221E-14,4.85035E+15,5.81347E+15,2,3,8.85339E-06,2.2375E-05,11.57146
White,11/05/2018 5:45:25 PM +10:00,0.002365112,0.004119873,0.059354528,0.059344912,3119.635847,3132,5111864,3.40523E-14,5.90151E-14,6.32702E+15,1.43413E+15,10,15,-6.33881E-06,1.69734E-05,11.73987
Red,11/05/2018 6:02:17 PM +10:00,0.002365112,0.004119873,0.009817008,0.009807924,3046.297733,3132,5111864,5.35938E-14,5.27907E-14,5.41619E+15,2.55243E+15,1,4,-6.33881E-06,1.69734E-05,11.75159
White,11/05/2018 6:10:39 PM +10:00,0.002365112,0.004119873,0.061147552,0.061154196,680.2922347,544,5111289,5.85812E-14,5.18189E-14,4.99513E+15,2.55449E+15,7,6,5.59376E-06,1.69734E-05,11.7574
Red,11/05/2018 6:43:14 PM +10:00,0.002365112,0.004119873,0.009738656,0.009735852,2104.302655,2007,5111293,4.97227E-14,5.92892E-14,4.98476E+15,2.08382E+15,7,6,5.59376E-06,1.69734E-05,11.78002
Red,11/05/2018 6:58:41 PM +10:00,0.002365112,0.004119873,0.010156372,0.010166456,171.059948,294,5111288,5.7029E-14,5.19435E-14,4.34908E+15,1.71372E+15,4,5,-6.33881E-06,1.69734E-05,11.79075
White,11/05/2018 7:30:15 PM +10:00,0.002365112,0.004119873,0.061084276,0.061080308,2271.880105,2445,5111862,4.64159E-14,5.13991E-14,6.19088E+15,2.83972E+15,1,2,-6.33881E-06,1.69734E-05,11.81267
Red,11/05/2018 10:37:34 PM +10:00,0.002365112,0.004119873,0.009794416,0.009797984,1148.213649,897,5111290,6.04568E-14,5.76363E-14,4.16765E+15,1.90394E+15,6,11,-6.33881E-06,1.69734E-05,11.94275
Blue,11/05/2018 11:07:29 PM +10:00,0.002365112,0.004119873,0.11354422,0.113534812,3077.941224,3132,5111864,3.77455E-14,4.95308E-14,5.65909E+15,2.42744E+15,4,10,-6.33881E-06,1.69734E-05,11.96353
Red,11/05/2018 11:54:35 PM +10:00,0.002365112,0.004119873,0.008908592,0.008905,2222.490016,2007,5111293,5.94767E-14,5.76351E-14,5.07308E+15,2.24234E+15,4,6,-6.33881E-06,1.69734E-05,11.99624
Red,12/05/2018 1:08:36 AM +10:00,0.002365112,0.004119873,0.00914072,0.00913054,3210.666181,3132,5111864,5.19807E-14,5.64907E-14,6.4017E+15,1.57745E+15,7,14,5.59376E-06,1.69734E-05,12.04764
Blue,12/05/2018 3:40:50 AM +10:00,0.002365112,0.004119873,0.108444604,0.108437452,2737.433567,2793,5111863,4.20631E-14,5.1888E-14,5.63068E+15,1.59628E+15,4,16,-6.33881E-06,1.69734E-05,12.15336
White,12/05/2018 7:38:56 AM +10:00,0.002365112,0.007171631,0.058705588,0.058698932,2669.098954,2793,5111863,4.08776E-14,2.52132E-14,5.9367E+15,4.21864E+15,3,1,-6.33881E-06,5.14323E-05,12.3187
Red,12/05/2018 7:47:50 AM +10:00,0.002365112,0.007781982,0.008671596,0.008671808,1650.952335,1696,5111292,3.99526E-14,1.98103E-14,6.21241E+15,4.34052E+15,7,1,5.59376E-06,6.05593E-05,12.32488
Blue,12/05/2018 7:58:11 AM +10:00,0.002975464,0.009002686,0.11120928,0.111204552,2362.038367,2445,5111862,2.3762E-14,1.60874E-14,4.46964E+15,4.73557E+15,3,2,8.85339E-06,8.10483E-05,12.33207
Blue,12/05/2018 8:16:13 AM +10:00,0.003585815,0.009002686,0.11897656,0.118984872,399.3653989,294,5111288,2.66033E-14,1.60976E-14,4.60058E+15,4.37012E+15,1,2,1.28581E-05,8.10483E-05,12.34459
Blue,12/05/2018 9:02:13 AM +10:00,0.012130737,0.010223389,0.138253044,0.13825152,1890.373783,2007,5111293,1.00175E-14,1.44081E-14,4.39078E+15,4.42131E+15,6,1,-0.000166247,0.000104518,12.37654
White,12/05/2018 9:14:40 AM +10:00,0.011520386,0.009613037,0.0685673,0.068561724,2513.008753,2445,5111862,1.08101E-14,1.37983E-14,4.36881E+15,4.48447E+15,3,1,-0.000166247,9.24105E-05,12.38519
White,12/05/2018 9:19:43 AM +10:00,0.011520386,0.009613037,0.06337448,0.063381148,678.0678509,544,5111289,1.03511E-14,1.25129E-14,4.3945E+15,4.51556E+15,90,2,-0.00015088,9.24105E-05,12.38869
White,12/05/2018 9:23:45 AM +10:00,0.011520386,0.009613037,0.06187092,0.061881764,52.60591711,0,5111287,1.02565E-14,1.57834E-14,4.37336E+15,4.10906E+15,2,3,-0.000166247,9.24105E-05,12.39149
Blue,12/05/2018 9:41:08 AM +10:00,0.011520386,0.009613037,0.110437564,0.110429832,2838.441231,2793,5111863,1.05536E-14,2.05179E-14,4.26452E+15,4.60655E+15,17,2,-0.00015088,9.24105E-05,12.40356
White,12/05/2018 10:25:29 AM +10:00,0.010299683,0.010223389,0.087824328,0.087830816,711.1124169,544,5111289,1.15091E-14,1.48946E-14,4.15866E+15,4.13313E+15,18,1,-0.000136258,0.000104518,12.43436
Red,12/05/2018 10:36:28 AM +10:00,0.010299683,0.009002686,0.030929516,0.03093982,139.6556671,0,5111287,1.15436E-14,1.32612E-14,4.21487E+15,4.31027E+15,5,3,-0.000136258,8.10483E-05,12.44199
Red,12/05/2018 10:57:36 AM +10:00,0.010299683,0.009002686,0.0181072,0.01809696,3221.406308,3132,5111864,1.11709E-14,1.73226E-14,4.18683E+15,4.15823E+15,76,1,-0.000122382,8.10483E-05,12.45667
White,12/05/2018 11:19:35 AM +10:00,0.010299683,0.010223389,0.063919904,0.06392744,555.6704878,544,5111289,1.17642E-14,1.33839E-14,4.19507E+15,4.53125E+15,17,1,-0.000136258,0.000104518,12.47193
Blue,12/05/2018 11:34:00 AM +10:00,0.010910034,0.009613037,0.123769056,0.12377536,739.6942145,897,5111290,1.06252E-14,1.45529E-14,4.23619E+15,4.30773E+15,1,1,-0.00015088,9.24105E-05,12.48194
White,12/05/2018 11:35:24 AM +10:00,0.010910034,0.009613037,0.087724528,0.087735448,47.04772102,0,5111287,1.0703E-14,1.46681E-14,4.2263E+15,4.50917E+15,110,1,-0.000136258,9.24105E-05,12.48292
